onset	duration	trial_type	stimulus_name	image_index	response_time
0	32	-1	n/a	n/a	n/a
32	8	1	colorExpStim12_blue_smallring	12.0	n/a
40	8	1	colorExpStim27_cyan_smallring	27.0	n/a
48	8	1	colorExpStim38_black_largering	38.0	n/a
56	8	1	colorExpStim31_white_square	31.0	n/a
64	8	1	colorExpStim04_red_+	4.0	n/a
72	8	1	colorExpStim06_green_square	6.0	n/a
80	8	1	colorExpStim14_blue_+	14.0	n/a
88	8	1	colorExpStim20_yellow_X	20.0	n/a
96	8	1	colorExpStim16_yellow_square	16.0	n/a
104	8	1	colorExpStim03_red_largering	3.0	n/a
112	8	1	colorExpStim39_black_+	39.0	n/a
120	8	1	colorExpStim01_red_square	1.0	n/a
128	8	1	colorExpStim40_black_X	40.0	n/a
136	8	1	colorExpStim08_green_largering	8.0	n/a
144	8	1	colorExpStim09_green_+	9.0	n/a
152	8	1	colorExpStim11_blue_square	11.0	n/a
160	8	1	colorExpStim02_red_smallring	2.0	n/a
168	8	1	colorExpStim29_cyan_+	29.0	n/a
176	8	1	colorExpStim21_magenta_square	21.0	n/a
184	8	1	colorExpStim30_cyan_X	30.0	n/a
192	8	1	colorExpStim10_green_X	10.0	n/a
200	8	1	colorExpStim34_white_+	34.0	n/a
208	8	1	colorExpStim17_yellow_smallring	17.0	n/a
216	8	1	colorExpStim19_yellow_+	19.0	n/a
224	8	1	colorExpStim15_blue_X	15.0	n/a
232	8	2	colorExpStim15_blue_X	15.0	233.052504
240	8	1	colorExpStim37_black_smallring	37.0	n/a
248	8	1	colorExpStim13_blue_largering	13.0	n/a
256	8	1	colorExpStim36_black_square	36.0	n/a
264	8	1	colorExpStim33_white_largering	33.0	n/a
272	8	2	colorExpStim33_white_largering	33.0	273.051828
280	8	1	colorExpStim35_white_X	35.0	n/a
288	8	1	colorExpStim26_cyan_square	26.0	n/a
296	8	1	colorExpStim18_yellow_largering	18.0	n/a
304	8	1	colorExpStim32_white_smallring	32.0	n/a
312	8	1	colorExpStim05_red_X	5.0	n/a
320	8	2	colorExpStim05_red_X	5.0	321.05341200000004
328	8	1	colorExpStim07_green_smallring	7.0	n/a
336	8	1	colorExpStim24_magenta_+	24.0	n/a
344	8	1	colorExpStim23_magenta_largering	23.0	n/a
352	8	1	colorExpStim22_magenta_smallring	22.0	n/a
360	8	1	colorExpStim25_magenta_X	25.0	n/a
368	8	2	colorExpStim25_magenta_X	25.0	369.056151
376	8	1	colorExpStim28_cyan_largering	28.0	n/a
384	6	-2	n/a	n/a	n/a
